全球一级域名后缀国别对照列表 
ad  : Andorra , 安道尔 
ec  : Ecuador , 厄瓜多尔 
ee  : Estonia , 爱沙尼亚 
eg  : Egypt , 埃及 
eh  : Western Sahara , 西萨摩亚 
es  : Spain , 西班牙 
et  : Ethiopia , 埃塞俄比亚 
ev  : El Salvador , 萨尔瓦多 
fi  : Finland , 芬兰 
fj  : Fiji , 斐济 
fk  : Falkland Islands , 福克兰群岛 
fm  : Micronesia , 密克罗尼西亚 
fo  : Faroe Islands , 法罗群岛 
fr  : France , 法国 
ga  : Gobon, 加蓬 
gb  : Great Britain (UK) , 大不列颠联合王国 
gd  : Grenada , 格林纳达 
ge  : Georgia , 格鲁吉亚 
gf  : French Guiana , 法属圭亚那 
gh  : Ghana , 加纳 
gi  : Gibraltar , 直布罗陀 
gl  : Greenland , 格陵兰群岛 
gm  : Gambia , 冈比亚 
gn  : Guynea , 几内亚 
gp  : Guadeloupe, 瓜德罗普岛（法属） 
gr  : Greece ,希腊 
gt  : Guatemala , 危地马拉 
gu  : Guam , 关岛 
gw  : Guinea-Bissau , 几内亚比绍 
gy  : Guyana , 圭亚那 
hk  : Hong Kong , 香港 
hm  : Heard  
hn  : Honduras , 洪都拉斯 
hr  : Croatia , 克罗蒂亚 
ht  : Haiti , 海地 
hu  : Hungary , 匈牙利 
id  : Indonesia , 印度尼西亚 
ie  : Ireland , 爱尔兰共和国 
il  : Israel , 以色列 
in  : India , 印度 
io  : British Indian Ocean Territory, 英属印度洋领地 
iq  : Iraq , 伊拉克 
ir  : Iran , 伊朗 
is  : Iceland , 冰岛 
it  : Italy , 意大利 
jm  : Jamaica , 牙买加 
jo  : Jordan , 约旦 
jp  : Japan , 日本 
ke  : Kenya , 肯尼亚 
kg  : Kyrgyzstan , 吉尔吉斯斯坦 
kh  : Cambodia , 柬埔塞 
ki  : Kiribati , 基里巴斯 
km  : Comoros , 科摩罗 
kn  : St. Kitts  
kp  : Korea-North , 北朝鲜 
kr  : Korea-South , 南朝鲜 
kw  : Kuwait , 科威特 
ky  : Cayman Islands, 开曼群岛（英属） 
kz  : Kazakhstan , 哈萨克斯坦 
la  : Lao People\'s Republic , 老挝人民共和国 
lb  : Lebanon , 黎巴嫩 
lc  : St. Lucia, 圣露西亚岛 
li  : Liechtenstein , 列支敦士登 
lk  : Sri Lanka , 斯里兰卡 
lr  : Liberia , 利比里亚 
ls  : Lesotho , 莱索托 
lt  : Lithuania , 立陶宛 
lu  : Luxembourg , 卢森堡 
lv  : Latvia , 拉脱维亚 
ly  : Libya , 利比亚 
ma  : Morocco , 摩洛哥 
mc  : Monaco , 摩纳哥 
md  : Moldova , 摩尔多瓦 
mg  : Madagascar , 马达加斯加 
mh  : Marshall Islands , 马绍尔群岛 
ml  : Mali , 马里 
mm  : Myanmar, 缅甸 
mn  : Mongolia , 蒙古 
mo  : Macau , 澳门 
mp  : Northern Mariana Islands, 北马里亚纳群岛 
mq  : Martinique , 马提尼克岛（法属） 
mr  : Mauritania , 毛里塔尼亚 
ms  : Montserrat, 蒙塞拉特岛 
mt  : Malta , 马尔他 
mv  : Maldives , 马尔代夫 
mw  : Malawi , 马拉维 
mx  : Mexico , 墨西哥 
my  : Malaysia , 马来西亚 
mz  : Mozambique , 莫桑比克 
na  : Namibia , 纳米比亚 
nc  : New Caledonia, 新喀里多尼亚 
ne  : Niger , 尼日尔 
nf  : Norfolk Island, 诺福克岛 
ng  : Nigeria , 尼日利亚 
ni  : Nicaragua , 尼加拉瓜 
nl  : Netherlands , 荷兰 
no  : Norway , 挪威 
np  : Nepal , 尼泊尔 
nr  : Nauru , 瑙鲁 
nt  : Neutral Zone , 中立区 
nu  : Niue, 纽埃 
nz  : New Zealand , 新西兰 
om  : Oman , 阿曼 
pa  : Panama , 巴拿马 
pe  : Peru , 秘鲁 
pf  : French Polynesia , 法属玻利尼西亚 
pg  : Papua New Guinea , 巴布亚新几内亚 
ph  : Philippines , 菲律宾 
pk  : Pakistan , 巴基斯坦 
pl  : Poland , 波兰 
pm  : St. Pierre  
pn  : Pitcairn Island, 皮特克恩岛 
pr  : Puerto Rico , 波多黎各 
pt  : Portugal , 葡萄牙 
pw  : Palau , 帕劳 
py  : Paraguay , 巴拉圭 
qa  : Qatar , 卡塔尔 
re  : Reunion Island, 留尼汪岛（法属） 
ro  : Romania , 罗马尼亚 
ru  : Russian Federation , 俄罗斯联邦 
rw  : Rwanda , 卢旺达 
sa  : Saudi Arabia , 沙特阿拉伯 
sb  : Solomon Islands , 所罗门群岛 
sc  : Seychelles , 塞舌尔 
sd  : Sudan , 苏旦 
se  : Sweden , 瑞典 
sg  : Singapore , 新加坡 
sh  : St. Helena , 海伦娜 
si  : Slovenia , 斯洛文尼亚 
sj  : Svalbard  
sk  : Slovakia , 斯洛伐克 
sl  : Sierra Leone , 塞拉利昂 
sm  : San Marino , 圣马力诺 
sn  : Senegal , 塞内加尔 
so  : Somalia , 索马里 
sr  : Suriname , 苏里南 
st  : Sao Tome  
su  : USSR , 苏联 
sy  : Syrian Arab Republic , 叙利亚 
sz  : Swaziland , 斯威士兰 
tc  : Turks  
td  : Chad , 乍得 
tf  : French Southern Territories , 法属南半球领地 
tg  : Togo , 多哥 
th  : Thailand , 泰国 
tj  : Tajikistan , 塔吉克斯坦 
tk  : tokelau, 托克劳群岛 
tm  : Turkmenistan , 土库曼斯坦 
tn  : Tunisia , 突尼斯 
to  : Tonga , 汤加 
tp  : East Timor , 东帝汶 
tr  : Turkey , 土耳其 
tt  : Trinidad  
tv  : Tuvalu , 图瓦鲁 
tw  : Taiwan , ** 
tz  : Tanzania , 坦桑尼亚 
ua  : Ukrainian SSR , 乌克兰 
ug  : Uganda , 乌干达 
uk  : United Kingdom , 英国 
us  : United States , 美国 
uy  : Uruguay , 乌拉圭 
va  : Vatican City State , 梵地冈 
vc  : St. Vincent  
ve  : Venezuela , 委内瑞拉 
vg  : Virgin Islands : 维京群岛 
vn  : Vietnam , 越南 
vu  : Vanuatu , 瓦努阿图 
wf  : Wallis  
ws  : Samoa , 东萨摩亚 
ye  : Yemen , 也门 
yu  : Yugoslavia , 南斯拉夫 
za  : South Africa , 南非 
zm  : Zambia , 赞比亚 
zr  : Zaire , 扎伊尔 
zw  : Zimbabwe , 津巴布韦
